-2025_8_28-21_18_58
21_21_9 | INFO | UtopiaAirdropModule has started
21_26_15 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_26_15 | DEBUG | [AIRDROP] Player count: 0
21_26_15 | INFO | [AIRDROP] Players to start the airdrop.0
21_31_15 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_31_15 | DEBUG | [AIRDROP] Player count: 0
21_31_15 | INFO | [AIRDROP] Players to start the airdrop.0
21_36_15 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_36_15 | DEBUG | [AIRDROP] Player count: 0
21_36_15 | INFO | [AIRDROP] Players to start the airdrop.0
21_41_15 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_41_15 | DEBUG | [AIRDROP] Player count: 0
21_41_15 | INFO | [AIRDROP] Players to start the airdrop.0
21_46_15 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_46_15 | DEBUG | [AIRDROP] Player count: 0
21_46_15 | INFO | [AIRDROP] Players to start the airdrop.0
21_51_15 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_51_15 | DEBUG | [AIRDROP] Player count: 0
21_51_15 | INFO | [AIRDROP] Players to start the airdrop.0
21_56_15 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
21_56_15 | DEBUG | [AIRDROP] Player count: 0
21_56_15 | INFO | [AIRDROP] Players to start the airdrop.0
22_1_15 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
22_1_15 | DEBUG | [AIRDROP] Player count: 0
22_1_15 | INFO | [AIRDROP] Players to start the airdrop.0
22_6_15 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
22_6_15 | DEBUG | [AIRDROP] Player count: 0
22_6_15 | INFO | [AIRDROP] Players to start the airdrop.0
22_11_15 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
22_11_15 | DEBUG | [AIRDROP] Player count: 0
22_11_15 | INFO | [AIRDROP] Players to start the airdrop.0
22_16_15 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
22_16_15 | DEBUG | [AIRDROP] Player count: 0
22_16_15 | INFO | [AIRDROP] Players to start the airdrop.0
22_21_15 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
22_21_15 | DEBUG | [AIRDROP] Player count: 0
22_21_15 | INFO | [AIRDROP] Players to start the airdrop.0
22_26_15 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
22_26_15 | DEBUG | [AIRDROP] Player count: 0
22_26_15 | INFO | [AIRDROP] Players to start the airdrop.0
22_31_15 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
22_31_15 | DEBUG | [AIRDROP] Player count: 0
22_31_15 | INFO | [AIRDROP] Players to start the airdrop.0
22_36_15 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
22_36_15 | DEBUG | [AIRDROP] Player count: 0
22_36_15 | INFO | [AIRDROP] Players to start the airdrop.0
