-2025_8_12-16_52_45
16_53_35 | INFO | UtopiaAirdropModule has started
16_58_34 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
16_58_34 | DEBUG | [AIRDROP] Player count: 0
16_58_34 | INFO | [AIRDROP] Players to start the airdrop.0
17_3_34 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
17_3_34 | DEBUG | [AIRDROP] Player count: 0
17_3_34 | INFO | [AIRDROP] Players to start the airdrop.0
17_8_34 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
17_8_34 | DEBUG | [AIRDROP] Player count: 0
17_8_34 | INFO | [AIRDROP] Players to start the airdrop.0
17_13_34 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
17_13_34 | DEBUG | [AIRDROP] Player count: 0
17_13_34 | INFO | [AIRDROP] Players to start the airdrop.0
17_18_39 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
17_18_39 | DEBUG | [AIRDROP] Player count: 0
17_18_39 | INFO | [AIRDROP] Players to start the airdrop.0
17_23_39 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
17_23_39 | DEBUG | [AIRDROP] Player count: 0
17_23_39 | INFO | [AIRDROP] Players to start the airdrop.0
17_28_39 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
17_28_39 | DEBUG | [AIRDROP] Player count: 0
17_28_39 | INFO | [AIRDROP] Players to start the airdrop.0
