-2025_9_4-7_0_27
7_3_10 | INFO | UtopiaAirdropModule has started
7_8_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 1
7_8_17 | DEBUG | [AIRDROP] Player count: 0
7_8_17 | INFO | [AIRDROP] Players to start the airdrop.0
7_38_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 1
7_38_17 | DEBUG | [AIRDROP] Player count: 0
7_38_17 | INFO | [AIRDROP] Players to start the airdrop.0
8_8_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 1
8_8_17 | DEBUG | [AIRDROP] Player count: 0
8_8_17 | INFO | [AIRDROP] Players to start the airdrop.0
8_38_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 1
8_38_17 | DEBUG | [AIRDROP] Player count: 0
8_38_17 | INFO | [AIRDROP] Players to start the airdrop.0
