-2025_8_15-10_46_25
10_47_20 | INFO | UtopiaAirdropModule has started
10_52_25 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
10_52_25 | DEBUG | [AIRDROP] Player count: 0
10_52_25 | INFO | [AIRDROP] Players to start the airdrop.0
10_57_25 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
10_57_25 | DEBUG | [AIRDROP] Player count: 0
10_57_25 | INFO | [AIRDROP] Players to start the airdrop.0
11_2_25 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
11_2_25 | DEBUG | [AIRDROP] Player count: 0
11_2_25 | INFO | [AIRDROP] Players to start the airdrop.0
11_7_25 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
11_7_25 | DEBUG | [AIRDROP] Player count: 0
11_7_25 | INFO | [AIRDROP] Players to start the airdrop.0
