-2025_8_8-15_1_29
15_2_9 | INFO | UtopiaAirdropModule has started
15_7_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
15_7_17 | DEBUG | [AIRDROP] Player count: 0
15_7_17 | INFO | [AIRDROP] Players to start the airdrop.0
15_12_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
15_12_17 | DEBUG | [AIRDROP] Player count: 0
15_12_17 | INFO | [AIRDROP] Players to start the airdrop.0
15_17_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
15_17_17 | DEBUG | [AIRDROP] Player count: 0
15_17_17 | INFO | [AIRDROP] Players to start the airdrop.0
15_22_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
15_22_17 | DEBUG | [AIRDROP] Player count: 0
15_22_17 | INFO | [AIRDROP] Players to start the airdrop.0
15_27_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
15_27_17 | DEBUG | [AIRDROP] Player count: 0
15_27_17 | INFO | [AIRDROP] Players to start the airdrop.0
15_32_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
15_32_17 | DEBUG | [AIRDROP] Player count: 0
15_32_17 | INFO | [AIRDROP] Players to start the airdrop.0
15_37_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
15_37_17 | DEBUG | [AIRDROP] Player count: 0
15_37_17 | INFO | [AIRDROP] Players to start the airdrop.0
15_42_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
15_42_17 | DEBUG | [AIRDROP] Player count: 0
15_42_17 | INFO | [AIRDROP] Players to start the airdrop.0
15_47_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
15_47_17 | DEBUG | [AIRDROP] Player count: 0
15_47_17 | INFO | [AIRDROP] Players to start the airdrop.0
15_52_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
15_52_17 | DEBUG | [AIRDROP] Player count: 0
15_52_17 | INFO | [AIRDROP] Players to start the airdrop.0
15_57_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
15_57_17 | DEBUG | [AIRDROP] Player count: 0
15_57_17 | INFO | [AIRDROP] Players to start the airdrop.0
16_2_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
16_2_17 | DEBUG | [AIRDROP] Player count: 0
16_2_17 | INFO | [AIRDROP] Players to start the airdrop.0
16_7_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
16_7_17 | DEBUG | [AIRDROP] Player count: 0
16_7_17 | INFO | [AIRDROP] Players to start the airdrop.0
16_12_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
16_12_17 | DEBUG | [AIRDROP] Player count: 0
16_12_17 | INFO | [AIRDROP] Players to start the airdrop.0
16_17_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
16_17_17 | DEBUG | [AIRDROP] Player count: 0
16_17_17 | INFO | [AIRDROP] Players to start the airdrop.0
16_22_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
16_22_17 | DEBUG | [AIRDROP] Player count: 0
16_22_17 | INFO | [AIRDROP] Players to start the airdrop.0
16_27_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
16_27_17 | DEBUG | [AIRDROP] Player count: 0
16_27_17 | INFO | [AIRDROP] Players to start the airdrop.0
16_32_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
16_32_17 | DEBUG | [AIRDROP] Player count: 0
16_32_17 | INFO | [AIRDROP] Players to start the airdrop.0
16_37_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
16_37_17 | DEBUG | [AIRDROP] Player count: 0
16_37_17 | INFO | [AIRDROP] Players to start the airdrop.0
16_42_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
16_42_17 | DEBUG | [AIRDROP] Player count: 0
16_42_17 | INFO | [AIRDROP] Players to start the airdrop.0
16_47_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
16_47_17 | DEBUG | [AIRDROP] Player count: 0
16_47_17 | INFO | [AIRDROP] Players to start the airdrop.0
16_52_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
16_52_17 | DEBUG | [AIRDROP] Player count: 0
16_52_17 | INFO | [AIRDROP] Players to start the airdrop.0
16_57_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
16_57_17 | DEBUG | [AIRDROP] Player count: 0
16_57_17 | INFO | [AIRDROP] Players to start the airdrop.0
17_2_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
17_2_17 | DEBUG | [AIRDROP] Player count: 0
17_2_17 | INFO | [AIRDROP] Players to start the airdrop.0
17_7_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
17_7_17 | DEBUG | [AIRDROP] Player count: 0
17_7_17 | INFO | [AIRDROP] Players to start the airdrop.0
17_12_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
17_12_17 | DEBUG | [AIRDROP] Player count: 0
17_12_17 | INFO | [AIRDROP] Players to start the airdrop.0
17_17_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
17_17_17 | DEBUG | [AIRDROP] Player count: 0
17_17_17 | INFO | [AIRDROP] Players to start the airdrop.0
17_22_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
17_22_17 | DEBUG | [AIRDROP] Player count: 0
17_22_17 | INFO | [AIRDROP] Players to start the airdrop.0
17_27_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
17_27_17 | DEBUG | [AIRDROP] Player count: 0
17_27_17 | INFO | [AIRDROP] Players to start the airdrop.0
17_32_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
17_32_17 | DEBUG | [AIRDROP] Player count: 0
17_32_17 | INFO | [AIRDROP] Players to start the airdrop.0
17_37_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
17_37_17 | DEBUG | [AIRDROP] Player count: 0
17_37_17 | INFO | [AIRDROP] Players to start the airdrop.0
17_42_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
17_42_17 | DEBUG | [AIRDROP] Player count: 0
17_42_17 | INFO | [AIRDROP] Players to start the airdrop.0
17_47_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
17_47_17 | DEBUG | [AIRDROP] Player count: 0
17_47_17 | INFO | [AIRDROP] Players to start the airdrop.0
17_52_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
17_52_17 | DEBUG | [AIRDROP] Player count: 0
17_52_17 | INFO | [AIRDROP] Players to start the airdrop.0
17_57_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
17_57_17 | DEBUG | [AIRDROP] Player count: 0
17_57_17 | INFO | [AIRDROP] Players to start the airdrop.0
18_2_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
18_2_17 | DEBUG | [AIRDROP] Player count: 0
18_2_17 | INFO | [AIRDROP] Players to start the airdrop.0
18_7_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
18_7_17 | DEBUG | [AIRDROP] Player count: 0
18_7_17 | INFO | [AIRDROP] Players to start the airdrop.0
18_12_17 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
18_12_17 | DEBUG | [AIRDROP] Player count: 0
18_12_17 | INFO | [AIRDROP] Players to start the airdrop.0
