-2025_8_30-3_13_0
3_14_5 | INFO | UtopiaAirdropModule has started
3_50_24 | DEBUG | [AIRDROP] attempting to spawn entity ZmbM_usSoldier_normal_Woodlandspawned at location: <4118.044434, 18.065948, 7463.398438>
3_50_24 | DEBUG | [AIRDROP] entity ZmbM_usSoldier_normal_Woodlandspawned at location: <4118.044434, 18.065948, 7463.398438>
3_54_24 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 1
3_54_24 | DEBUG | [AIRDROP] Player count: 0
3_54_24 | INFO | [AIRDROP] Players to start the airdrop.0
3_59_24 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 1
3_59_24 | DEBUG | [AIRDROP] Player count: 0
3_59_24 | INFO | [AIRDROP] Players to start the airdrop.0
4_4_24 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 1
4_4_24 | DEBUG | [AIRDROP] Player count: 0
4_4_24 | INFO | [AIRDROP] Players to start the airdrop.0
4_9_24 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 1
4_9_24 | DEBUG | [AIRDROP] Player count: 0
4_9_24 | INFO | [AIRDROP] Players to start the airdrop.0
