-2025_8_12-17_49_19
17_50_14 | INFO | UtopiaAirdropModule has started
17_55_19 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
17_55_19 | DEBUG | [AIRDROP] Player count: 0
17_55_19 | INFO | [AIRDROP] Players to start the airdrop.0
18_0_19 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
18_0_19 | DEBUG | [AIRDROP] Player count: 0
18_0_19 | INFO | [AIRDROP] Players to start the airdrop.0
18_5_19 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
18_5_19 | DEBUG | [AIRDROP] Player count: 0
18_5_19 | INFO | [AIRDROP] Players to start the airdrop.0
18_10_19 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
18_10_19 | DEBUG | [AIRDROP] Player count: 0
18_10_19 | INFO | [AIRDROP] Players to start the airdrop.0
18_15_19 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
18_15_19 | DEBUG | [AIRDROP] Player count: 0
18_15_19 | INFO | [AIRDROP] Players to start the airdrop.0
18_20_19 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
18_20_19 | DEBUG | [AIRDROP] Player count: 0
18_20_19 | INFO | [AIRDROP] Players to start the airdrop.0
18_25_19 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
18_25_19 | DEBUG | [AIRDROP] Player count: 0
18_25_19 | INFO | [AIRDROP] Players to start the airdrop.0
