-2025_8_11-12_12_35
12_13_30 | INFO | UtopiaAirdropModule has started
12_18_43 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
12_18_43 | DEBUG | [AIRDROP] Player count: 0
12_18_43 | INFO | [AIRDROP] Players to start the airdrop.0
12_23_43 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
12_23_43 | DEBUG | [AIRDROP] Player count: 0
12_23_43 | INFO | [AIRDROP] Players to start the airdrop.0
12_28_43 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
12_28_43 | DEBUG | [AIRDROP] Player count: 0
12_28_43 | INFO | [AIRDROP] Players to start the airdrop.0
12_33_43 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
12_33_43 | DEBUG | [AIRDROP] Player count: 0
12_33_43 | INFO | [AIRDROP] Players to start the airdrop.0
12_38_43 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
12_38_43 | DEBUG | [AIRDROP] Player count: 0
12_38_43 | INFO | [AIRDROP] Players to start the airdrop.0
12_43_43 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
12_43_43 | DEBUG | [AIRDROP] Player count: 0
12_43_43 | INFO | [AIRDROP] Players to start the airdrop.0
12_48_43 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
12_48_43 | DEBUG | [AIRDROP] Player count: 0
12_48_43 | INFO | [AIRDROP] Players to start the airdrop.0
12_53_43 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
12_53_43 | DEBUG | [AIRDROP] Player count: 0
12_53_43 | INFO | [AIRDROP] Players to start the airdrop.0
12_58_44 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
12_58_44 | DEBUG | [AIRDROP] Player count: 0
12_58_44 | INFO | [AIRDROP] Players to start the airdrop.0
