=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-7-9_0-13-3
====================================================================================
0:13:3 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
0:13:3 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
0:13:3 | [PermissionManager] Perm (FreeCamera) has been registered!
0:13:3 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
0:13:3 | [PermissionManager] Perm (MenuItemManager) has been registered!
0:13:3 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
0:13:3 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
0:13:3 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
0:13:3 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
0:13:3 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
0:13:3 | [PermissionManager] Perm (MenuServerManager) has been registered!
0:13:3 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
0:13:3 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
0:13:3 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
0:13:3 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
0:13:3 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
0:13:3 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
0:13:3 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
0:13:3 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
0:13:3 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
0:13:3 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
0:13:3 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
0:13:3 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
0:13:3 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
0:13:3 | [PermissionManager] Perm (MenuObjectManager) has been registered!
0:13:3 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
0:13:3 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
0:13:3 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
0:13:3 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
0:13:3 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
0:13:3 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
0:13:3 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
0:13:3 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
0:13:3 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
0:13:3 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
0:13:3 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
0:13:3 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
0:13:3 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
0:13:3 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
0:13:3 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
0:13:3 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
0:13:3 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
0:13:3 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
0:13:3 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
0:13:3 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
0:13:3 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
0:13:3 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
0:13:3 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
0:13:3 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
0:13:3 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
0:13:3 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
0:13:3 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
0:13:3 | [PermissionManager] Perm (MenuBansManager) has been registered!
0:13:3 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
0:13:3 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
0:13:3 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
0:13:3 | [PermissionManager] Perm (MenuWebHooks) has been registered!
0:13:3 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
0:13:3 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
0:13:3 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
0:13:3 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
0:13:3 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
0:13:3 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
0:13:3 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
0:13:3 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
0:13:3 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
0:13:3 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
0:13:3 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
0:13:3 | [PermissionManager] Perm (EspToolsMenu) has been registered!
0:13:3 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
0:13:3 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
0:13:3 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
0:13:3 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
0:13:3 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
0:13:3 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
0:13:3 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
0:13:3 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
0:13:3 | [PermissionManager] Perm (TerjePlayerManager) has been registered!
0:13:3 | [PermissionManager] Adding Super Admin (76561198413928129)
0:13:3 | [PermissionManager] Adding Super Admin (76561198061747392)
0:13:3 | [PermissionManager] Loaded UserGroups.json
0:13:3 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
0:13:3 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
0:13:3 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
0:13:3 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
0:13:3 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
0:13:3 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
0:13:3 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
0:13:3 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
0:13:3 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
0:13:3 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
0:13:3 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
0:13:3 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
0:13:3 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
0:13:3 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
0:13:3 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
0:13:3 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
0:13:3 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
0:13:3 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
0:13:3 | Building Sets Loaded: 2
0:13:3 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
0:19:22 | Player "GodZe" (steamId=76561197976058820) connected to server!
0:32:21 | Player "[GOB] Old Timer:):)" (steamId=76561198044480151) connected to server!
1:0:55 | Player "GodZe" (steamId=76561197976058820) initiated disconnect process...
1:0:57 | Player "GodZe" (steamId=76561197976058820) disconnected early from server (EXIT NOW).
1:0:58 | Player "GodZe" (steamId=76561197976058820) disconnected from server.
1:34:27 | Player "[GOB] Old Timer:):)" (steamId=76561198044480151) initiated disconnect process...
1:34:30 | Player "[GOB] Old Timer:):)" (steamId=76561198044480151) disconnected from server.
2:3:35 | Player "Kyrie" (steamId=76561198892824085) connected to server!
3:10:43 | Player "Kyrie" (steamId=76561198892824085) initiated disconnect process...
3:10:44 | Player "Kyrie" (steamId=76561198892824085) disconnected early from server (EXIT NOW).
3:10:46 | Player "Kyrie" (steamId=76561198892824085) disconnected from server.
3:44:15 | Player "Kyrie" (steamId=76561198892824085) connected to server!
4:5:51 | Player "Kyrie" (steamId=76561198892824085) initiated disconnect process...
4:5:52 | Player "Kyrie" (steamId=76561198892824085) disconnected early from server (EXIT NOW).
4:5:54 | Player "Kyrie" (steamId=76561198892824085) disconnected from server.
6:42:16 | Player "Reg" (steamId=76561198062069505) connected to server!
6:47:5 | Player "Kyrie" (steamId=76561198892824085) connected to server!
7:7:13 | Player "Timofff" (steamId=76561198038105253) connected to server!
7:43:43 | Player "Timofff" (steamId=76561198038105253) initiated disconnect process...
7:43:44 | Player "Timofff" (steamId=76561198038105253) disconnected early from server (EXIT NOW).
7:43:46 | Player "Timofff" (steamId=76561198038105253) disconnected from server.
7:50:4 | Player "Kyrie" (steamId=76561198892824085) initiated disconnect process...
7:50:6 | Player "Kyrie" (steamId=76561198892824085) disconnected early from server (EXIT NOW).
7:50:7 | Player "Kyrie" (steamId=76561198892824085) disconnected from server.
7:50:14 | Player "Reg" (steamId=76561198062069505) initiated disconnect process...
7:50:17 | Player "Reg" (steamId=76561198062069505) disconnected from server.
7:50:29 | Player "Kyrie" (steamId=76561198892824085) connected to server!
7:50:44 | Player "Reg" (steamId=76561198062069505) connected to server!
7:55:19 | Player "Kyrie" (steamId=76561198892824085) initiated disconnect process...
7:55:21 | Player "Kyrie" (steamId=76561198892824085) disconnected early from server (EXIT NOW).
7:55:22 | Player "Kyrie" (steamId=76561198892824085) disconnected from server.
7:55:44 | Player "Kyrie" (steamId=76561198892824085) connected to server!
8:1:3 | Player "Reg" (steamId=76561198062069505) initiated disconnect process...
8:1:6 | Player "Reg" (steamId=76561198062069505) disconnected from server.
8:18:49 | Player "Kyrie" (steamId=76561198892824085) initiated disconnect process...
8:18:51 | Player "Kyrie" (steamId=76561198892824085) disconnected early from server (EXIT NOW).
8:18:52 | Player "Kyrie" (steamId=76561198892824085) disconnected from server.
8:46:9 | Player "Reg" (steamId=76561198062069505) connected to server!
8:55:47 | Player "Kyrie" (steamId=76561198892824085) connected to server!
8:59:10 | Player "Reg" (steamId=76561198062069505) initiated disconnect process...
8:59:11 | Player "Reg" (steamId=76561198062069505) aborted logout process [canceledLogout]
8:59:30 | Player "Reg" (steamId=76561198062069505) initiated disconnect process...
8:59:33 | Player "Reg" (steamId=76561198062069505) disconnected from server.
9:8:8 | Player "Reg" (steamId=76561198062069505) connected to server!
9:15:3 | Player "Penguin" (steamId=76561199380565467) connected to server!
9:15:13 | Player "Reg" (steamId=76561198062069505) initiated disconnect process...
9:25:19 | Player "Reg" (steamId=76561198062069505) connected to server!
9:25:23 | Player "Reg" (steamId=76561198062069505) initiated disconnect process...
9:25:48 | Player "Reg" (steamId=76561198062069505) connected to server!
9:26:21 | Player "Reg" (steamId=76561198062069505) initiated disconnect process...
9:27:22 | Player "Reg" (steamId=76561198062069505) connected to server!
9:27:31 | Player "Reg" (steamId=76561198062069505) initiated disconnect process...
9:28:6 | Player "Reg" (steamId=76561198062069505) connected to server!
9:28:8 | Player "Reg" (steamId=76561198062069505) initiated disconnect process...
