Loot System Logs Active: 2025_9_9-7_46_49
7_47_48 | INFO | Loot System has started
7_47_48 | INFO | Room settings loaded successfully.
7_47_48 | INFO | Box settings loaded successfully.
7_47_48 | INFO | LockAllLootRooms called
7_47_48 | INFO | Locking room: South Port Industrial Base
7_47_48 | INFO | Locking room: Airfield Base
7_50_54 | INFO | Player and identity are valid on connect.
7_51_54 | INFO | Player and identity are valid on connect.
9_44_8 | INFO | Player and identity are valid on connect.
11_8_39 | INFO | Player and identity are valid on connect.
11_19_39 | INFO | Player and identity are valid on connect.
12_38_54 | INFO | Player and identity are valid on connect.
