Loot System Logs Active: 2025_8_30-3_13_0
3_13_0 | INFO | Deleted old log file: $profile:CBD_LootSystem\Logging\Logs\/2025_8_28-17_11_5.log
3_14_5 | INFO | Loot System has started
3_14_5 | INFO | Room settings loaded successfully.
3_14_5 | INFO | Box settings loaded successfully.
3_14_5 | INFO | LockAllLootRooms called
3_14_5 | INFO | Locking room: South Port Industrial Base
3_14_5 | INFO | Locking room: Airfield Base
3_14_57 | INFO | Player and identity are valid on connect.
3_18_2 | INFO | UnlockLootRoom: Loot room 'Airfield Base' unlocked by Player: LEE [SteamID: 76561198413928129]
3_18_2 | INFO | Raycast hit surface at: <6939.748047, 27.108768, 2180.811279>
3_18_2 | INFO | Defender ZmbM_usSoldier_Officer_Desert spawned at: <6939.748047, 27.108768, 2180.811279>
3_18_2 | INFO | Surface type at position <6939.748047, 27.108768, 2180.811279> is cp_grass
3_18_2 | INFO | Raycast hit surface at: <6930.610840, 26.129999, 2237.357178>
3_18_2 | INFO | Defender ZmbM_usSoldier_normal_Woodland spawned at: <6930.610840, 26.129999, 2237.357178>
3_18_2 | INFO | Surface type at position <6930.610840, 26.129999, 2237.357178> is concrete_ext
3_18_2 | INFO | Raycast hit surface at: <6907.242676, 26.264978, 2203.086914>
3_18_2 | INFO | Defender ZmbM_usSoldier_Officer_Desert spawned at: <6907.242676, 26.264978, 2203.086914>
3_18_2 | INFO | Surface type at position <6907.242676, 26.264978, 2203.086914> is cp_grass
3_18_2 | INFO | Raycast hit surface at: <6896.446289, 29.833099, 2213.672363>
3_18_2 | INFO | Defender ZmbM_usSoldier_Officer_Desert spawned at: <6896.446289, 29.833099, 2213.672363>
3_18_2 | INFO | Surface type at position <6896.446289, 29.833099, 2213.672363> is ceramic_tiles_int
3_18_2 | INFO | Raycast hit surface at: <6928.402832, 26.129999, 2187.844482>
3_18_2 | INFO | Defender ZmbM_usSoldier_normal_Desert spawned at: <6928.402832, 26.129999, 2187.844482>
3_18_2 | INFO | Surface type at position <6928.402832, 26.129999, 2187.844482> is cp_concrete1
3_18_2 | INFO | Raycast hit surface at: <6883.399902, 26.200191, 2218.167236>
3_18_2 | INFO | Defender ZmbM_usSoldier_normal_Desert spawned at: <6883.399902, 26.200191, 2218.167236>
3_18_2 | INFO | Surface type at position <6883.399902, 26.200191, 2218.167236> is cp_grass
3_18_2 | INFO | Raycast hit surface at: <6904.041992, 26.129999, 2221.499023>
3_18_2 | INFO | Defender ZmbM_usSoldier_normal_Woodland spawned at: <6904.041992, 26.129999, 2221.499023>
3_18_2 | INFO | Surface type at position <6904.041992, 26.129999, 2221.499023> is cp_grass
3_18_2 | INFO | Raycast hit surface at: <6918.335938, 26.264978, 2205.407471>
3_18_2 | INFO | Defender ZmbM_usSoldier_Officer_Desert spawned at: <6918.335938, 26.264978, 2205.407471>
3_18_2 | INFO | Surface type at position <6918.335938, 26.264978, 2205.407471> is cp_grass
3_18_2 | INFO | Raycast hit surface at: <6919.337402, 26.264978, 2208.599365>
3_18_2 | INFO | Defender ZmbM_usSoldier_normal_Woodland spawned at: <6919.337402, 26.264978, 2208.599365>
3_18_2 | INFO | Surface type at position <6919.337402, 26.264978, 2208.599365> is cp_grass
3_18_2 | INFO | Raycast hit surface at: <6939.107422, 26.129999, 2182.523682>
