Loot System Logs Active: 2025_9_6-11_59_0
11_59_0 | INFO | Deleted old log file: $profile:CBD_LootSystem\Logging\Logs\/2025_8_28-18_53_4.log
12_0_6 | INFO | Loot System has started
12_0_6 | INFO | Room settings loaded successfully.
12_0_6 | INFO | Box settings loaded successfully.
12_0_6 | INFO | LockAllLootRooms called
12_0_6 | INFO | Locking room: South Port Industrial Base
12_0_6 | INFO | Locking room: Airfield Base
12_0_42 | INFO | Player and identity are valid on connect.
12_4_9 | INFO | Player and identity are valid on connect.
