Loot System Logs Active: 2025_8_28-16_27_1
16_27_1 | INFO | Deleted old log file: $profile:CBD_LootSystem\Logging\Logs\/2025_8_21-20_24_51.log
16_27_54 | INFO | Loot System has started
16_27_54 | INFO | Room settings loaded successfully.
16_27_54 | INFO | Box settings loaded successfully.
16_27_54 | INFO | LockAllLootRooms called
16_27_54 | INFO | Locking room: Mogilevka Shed
16_27_54 | ERROR | Failed to lock LootRoomPosition door at position: <7738.310059, 215.813004, 5153.640137> with index: 0
16_27_54 | INFO | Locking room: Electro Unit
16_27_54 | ERROR | Failed to lock LootRoomPosition door at position: <9982.259766, 11.558100, 1888.770020> with index: 0
16_27_54 | ERROR | Failed to lock LootRoomDoorsToLock door. No valid building found at position: <9982.259766, 11.558100, 1888.770020> with index: 1
16_27_54 | INFO | Locking room: Dobroye Shed
16_27_54 | ERROR | Failed to lock LootRoomPosition door at position: <13125.400391, 56.652802, 15016.200195> with index: 0
16_27_54 | ERROR | Failed to lock LootRoomDoorsToLock door. No valid building found at position: <13125.400391, 56.652802, 15016.200195> with index: 1
16_27_54 | INFO | Locking room: Serograd House
16_27_54 | ERROR | Failed to lock LootRoomPosition door at position: <7535.439941, 142.802994, 12846.400391> with index: 2
16_27_54 | ERROR | Failed to lock LootRoomDoorsToLock door. No valid building found at position: <7535.439941, 142.802994, 12846.400391> with index: 3
16_27_54 | INFO | Locking room: Berezino Container
16_27_54 | ERROR | Failed to lock LootRoomPosition door at position: <12697.799805, 7.199370, 9732.070313> with index: 0
16_28_31 | INFO | Player and identity are valid on connect.
