Loot System Logs Active: 2025_9_4-7_0_27
7_0_27 | INFO | Deleted old log file: $profile:CBD_LootSystem\Logging\Logs\/2025_8_28-17_29_58.log
7_3_10 | INFO | Loot System has started
7_3_10 | INFO | Room settings loaded successfully.
7_3_10 | INFO | Box settings loaded successfully.
7_3_10 | INFO | LockAllLootRooms called
7_3_10 | INFO | Locking room: South Port Industrial Base
7_3_10 | INFO | Locking room: Airfield Base
7_4_22 | INFO | Player and identity are valid on connect.
7_5_37 | INFO | Player and identity are valid on connect.
7_13_41 | INFO | Player and identity are valid on connect.
8_45_24 | INFO | Player and identity are valid on connect.
